year,sex,age,cohort,p10_guv,p25_guv,p50_guv,p75_guv,n,p10_epuf,p25_epuf,p50_epuf,p75_epuf,p10_cens,p25_cens,p50_cens,p75_cens,gap_p10,gap_p25,gap_p50,gap_p75
1985,2,30,1980,5097.524,11129.12,21696.28,34264.48,14084,4746.298159227687,11201.263655777342,22212.67538518558,34363.19867280846,False,False,False,False,-0.07138995233787825,0.006461501772214085,0.02352227195792815,0.0028769366181936
1986,2,31,1980,5043.454,11685.05,22727.13,35701.86,14220,4831.606405583292,11521.522967160157,23043.045934320315,35679.554995076614,False,False,False,False,-0.042912163304167195,-0.014093398431564898,0.01380466405604851,-0.0006249527457781588
1987,2,32,1980,5143.258,11669.71,23214.99,36929.75,14509,4869.14333612741,11722.011735121543,23263.684828164292,36789.082984073764,False,False,False,False,-0.05476871552590779,0.004471823226278812,0.002095362923350246,-0.0038163161558079496
1988,2,33,1980,5075.363,12146.85,23354.65,37593.09,14851,4860.128440959112,11629.593055152161,23606.3381418014,37318.84338593604,False,False,False,False,-0.04333318371943522,-0.04351690195397301,0.010719133547490824,-0.007321873214585952
1989,2,34,1980,5298.556,12003.29,23389.2,37780.5,15143,4992.357909718141,11815.247052999599,23630.494105999198,37775.50818353393,False,False,False,False,-0.05952600545054679,-0.015789958343369173,0.010263623733972303,-0.00013213552683211693
1990,2,35,1980,5351.484,12355.47,23811.31,38471.66,15324,4944.739027283512,11963.078291814947,23926.156583629894,38441.358244365365,False,False,False,False,-0.07904971700891911,-0.032273782331727445,0.004811600339165247,-0.0007879487216620025
1991,2,36,1980,5803.85,12623.92,24101.88,38931.2,15228,5559.835182978479,12509.629161701576,24401.498858627765,39382.16587943089,False,False,False,False,-0.0429530259687014,-0.009094746257571604,0.012354713291905043,0.01151708547204559
1992,2,37,1980,6117.825,13510.07,25198.04,40259.38,15222,5717.593084734383,12789.352952695332,24976.854001734413,40324.07754496881,False,False,False,False,-0.06765871374770263,-0.05482230908899351,-0.008816657631683813,0.001605728044961269
1993,2,38,1980,6213.953,13446.68,25034.91,40689.43,15399,5725.116336194545,12918.211220131281,25102.433166391464,40809.80362723291,False,False,False,False,-0.0819343774095993,-0.04009419711403375,0.002693529531124953,0.00295398396788305
1994,2,39,1980,6285.807,13476.16,25387.7,41356.04,15663,6039.896795583065,13086.443057096641,25453.850781385776,41416.435169712444,False,False,False,False,-0.03990730977742139,-0.029345385222930506,0.0026022344990707306,0.0014593058938158167
1995,2,40,1980,6704.583,14164.29,26194.22,42490.07,15855,6057.933888626959,13524.689611818327,25781.439572528685,42264.65503693227,False,False,False,False,-0.10142252292955256,-0.04620713323170689,-0.015883939117726596,-0.005319243132856482
1996,2,41,1980,6520.728,14216.76,26088.43,42842.02,16106,6069.642605249997,13518.749438965902,26209.82034085226,43039.28392813634,False,False,False,False,-0.07168630168068443,-0.0503439810937177,0.00464224168349688,0.004593881695570364
1997,2,42,1980,6915.895,14943.76,27587.64,44566.84,16290,6780.289182749883,14374.213067429753,27121.156730999533,44343.09125518424,False,False,False,False,-0.019802632153847387,-0.038857979350718434,-0.017053731846496722,-0.00503316590181847
1998,2,43,1980,7883.365,16126.04,28903.88,46722.87,16421,7132.440107587414,15341.474948395571,28664.33477200225,46428.14787014449,False,False,False,False,-0.10010143621839844,-0.04987541492702261,-0.008322183048223476,-0.006327855991836458
1999,2,44,1980,8298.336,16869.88,29937.4,48076.5,16509,7559.6153371964,16047.60448773271,29575.337196399953,47479.68931081248,False,False,False,False,-0.09323470520193759,-0.04997019797793984,-0.012167723673995313,-0.012491466096278667
2000,2,45,1980,8529.984,17401.58,30890.14,49012.47,16587,7763.9416831063845,16563.075590626955,30279.3725641149,48912.83260357023,False,False,False,False,-0.09409733168242766,-0.049385150911487256,-0.019970331908997847,-0.002034968045329946
2001,2,46,1980,8647.806,17823.72,31381.94,50490.39,16481,7870.87424471299,17011.24433534743,31102.648225075525,49891.186744712984,False,False,False,False,-0.09413650516079332,-0.046655597567447776,-0.008939600719358396,-0.011938652326642383
2002,2,47,1980,8842.615,18210.1,31796.59,51404.67,16279,8267.63863334653,17662.68253487668,31692.6147611617,50733.2370682628,False,False,False,False,-0.0672337131789754,-0.030522302655150726,-0.0032753704250583025,-0.013147765079236857
2003,2,48,1980,8808.738,18366.79,32390.02,52401.61,16119,8475.84616087334,17688.722422692186,32183.64774128717,51960.62211665829,False,False,False,False,-0.038523693102756565,-0.037616857279404274,-0.006391861220150476,-0.008451151323220137
2004,2,49,1980,8257.704,18052.78,32649.47,53131.84,15973,8274.492491889903,17868.106975240513,32618.28924339208,53124.640201554015,False,False,False,False,0.0020310063056854033,-0.010282299094707124,-0.0009554720229873527,-0.0001355173527928309
2005,2,50,1980,6995.719,16749.91,31318.08,52615.65,15780,8394.86240123129,18188.868536001126,32763.282427027672,53517.24780784947,False,False,False,False,0.1823215092924374,0.08241690294426156,0.04511288358925819,0.016990386869638635
2006,2,51,1980,7193.921,17124.49,31810.94,53121.19,15575,8289.706425698572,18282.777185444796,33158.82570279429,54507.658689524855,False,False,False,False,0.14177819161627178,0.06544987660918554,0.04149866079565407,0.02576531118389833
1981,2,25,1981,4695.104,9911.138,18850.02,27544.16,14248,4715.31268264173,10328.780161977123,19085.789429740336,27618.259998330137,False,False,False,False,0.004294966819982826,0.041275013974705,0.01243007432506049,0.0026866132016271412
