year,sex,age,model,n,n_low,n_high,negll,converged,alpha,beta,nu,tau,mu1,mu2,sig1,sig2,w,lowc,highc,p_low_model,p_high_model,eta_year,lam,gmm_q,gmm_chi2,has_guv,wedge
1951,1,27,dpln,9949,504,5895,10734.62673819211,True,11.145275340891095,0.9462934385987845,8.600127844316372,0.09338691740338347,,,,,,200.0,2600.0,0.04067793061959595,0.5392385497981693,17.732628775902448,0.0,nan,nan,0,nan
1951,1,28,dpln,9736,482,5967,10291.712690000666,True,12.48703534076179,0.9825782480894406,8.619126436392698,0.08848175384740636,,,,,,200.0,2600.0,0.03561740611777871,0.5572089889619336,17.732628775902448,0.0,nan,nan,0,nan
1951,1,29,dpln,9590,446,6021,9874.966319512621,True,9.978029546583285,0.9725036332795495,8.644719637249526,0.10648321505885583,,,,,,200.0,2600.0,0.035365127901550664,0.5715608091046289,17.732628775902448,0.0,nan,nan,0,nan
1951,1,30,dpln,10111,382,6614,9928.138037240187,False,9.259609187642894,1.0400197628233219,8.63548467210339,0.10055184102628892,,,,,,200.0,2600.0,0.028108087941641127,0.595093820614764,17.732628775902448,0.0,nan,nan,0,nan
1951,1,31,dpln,9682,411,6428,9507.183173728066,True,9.99407957213331,1.0145019787879197,8.678399963627747,0.09356284623010826,,,,,,200.0,2600.0,0.02956163586506685,0.6011347527405648,17.732628775902448,0.0,nan,nan,0,nan
1951,1,32,dpln,9074,400,5948,8981.99937353559,True,10.812921956737307,1.0029166424301679,8.680397876382036,0.10013057911395995,,,,,,200.0,2600.0,0.030943216905860285,0.5947175588009496,17.732628775902448,0.0,nan,nan,0,nan
1951,1,33,dpln,9307,376,6359,8689.02663243749,True,5.420010692118187,0.8872303113453259,9.019881051936151,0.26550278378748926,,,,,,200.0,2600.0,0.032525206601558734,0.6833756841256968,17.732628775902448,0.0,nan,nan,0,nan
1951,1,34,dpln,9041,340,6262,8343.555721752451,True,28.158728629621415,1.0657441556556115,8.76203359494478,0.09758748972015197,,,,,,200.0,2600.0,0.02415712117801765,0.6282732666006428,17.732628775902448,0.0,nan,nan,0,nan
1951,1,35,dpln,9074,337,6326,8243.111585668037,True,15.256556934984586,0.9363495193316218,9.070518616734532,0.265417100205594,,,,,,200.0,2600.0,0.02841662712637105,0.6862290279463126,17.732628775902448,0.0,nan,nan,0,nan
1951,1,36,dpln,8930,347,6186,8196.001986641033,False,11.590050566090758,1.0283631689736672,8.782017769523787,0.09717938854749983,,,,,,200.0,2600.0,0.02566760089039609,0.6411412057453828,17.732628775902448,0.0,nan,nan,0,nan
1951,1,37,dpln,9152,335,6348,8273.958298258565,False,10.728867729701026,1.1012661744679981,8.723543309735144,0.10381784831595411,,,,,,200.0,2600.0,0.02099939518555876,0.646039401517712,17.732628775902448,0.0,nan,nan,0,nan
1951,1,38,dpln,8876,321,6182,8090.446023682038,True,8.751615601227234,1.032096802647139,8.759047674836731,0.11627986052754391,,,,,,200.0,2600.0,0.02532184246390355,0.6425686225382443,17.732628775902448,0.0,nan,nan,0,nan
1951,1,39,dpln,8871,335,6137,8104.474198061052,True,3.7677089115952884,0.956233950943581,8.84178437185818,0.11247889790614524,,,,,,200.0,2600.0,0.027084978736236477,0.6852839064537575,17.732628775902448,0.0,nan,nan,0,nan
1951,1,40,dpln,8513,284,5926,7740.317475106154,True,9.537868124739731,1.076554979811895,8.698569526774609,0.10520372300386056,,,,,,200.0,2600.0,0.02325840963414172,0.6320394339078339,17.732628775902448,0.0,nan,nan,0,nan
