fold,smooth_frac,year,heldout_negll,n_test,cells,bad_cells
0,0.0001,2002,1094464.962285798,754481,121,0
0,0.0001,2003,1102420.4122631166,755926,123,0
0,0.0001,2004,1113087.1384818756,763103,123,0
0,0.0001,2005,1124505.2695982964,770460,123,0
0,0.0001,2006,1134084.6471667136,776369,123,0
0,0.0003,1951,324840.00161614415,281644,107,0
0,0.0003,1952,330576.90402278793,290220,109,0
0,0.0003,1953,330049.57895898825,295456,109,0
0,0.0003,1954,326543.8940453135,289625,109,0
0,0.0003,1955,380859.15785278287,317531,112,0
0,0.0003,1956,384792.7614795734,330175,113,0
0,0.0003,1957,394898.2469926542,344934,112,0
0,0.0003,1958,396378.2387301219,341843,112,0
0,0.0003,1959,415874.60345269623,349276,111,0
0,0.0003,1960,420777.99896466365,354096,111,0
0,0.0003,1961,423444.5799807016,355897,112,0
0,0.0003,1962,423408.3408434306,362813,111,0
0,0.0003,1963,428142.71915399696,369567,112,0
0,0.0003,1964,429594.8684230152,378256,111,0
0,0.0003,1965,437731.23382433556,393405,112,0
0,0.0003,1966,496504.5904859408,413235,112,0
0,0.0003,1967,503695.38013983006,423274,113,0
0,0.0003,1968,529925.1614366244,436569,113,0
0,0.0003,1969,543722.679254337,450861,113,0
0,0.0003,1970,552203.4001683305,454635,114,0
0,0.0003,1971,552991.5752896038,455814,114,0
0,0.0003,1972,582153.5824752192,470101,114,0
0,0.0003,1973,614420.6168378531,487883,114,0
0,0.0003,1974,637571.0320595161,495795,114,0
0,0.0003,1975,647127.0601573572,491604,114,0
0,0.0003,1976,661305.3414465551,503839,114,0
0,0.0003,1977,683074.8701363123,519291,113,0
0,0.0003,1978,700744.5016026526,536310,113,0
0,0.0003,1979,721687.3112096607,549899,114,0
0,0.0003,1980,738911.9812509988,553028,114,0
0,0.0003,1981,744491.00031146,553485,114,0
0,0.0003,1982,751928.8438983675,547170,115,0
0,0.0003,1983,762824.3842169091,551777,113,0
0,0.0003,1984,792677.558539782,573431,114,0
0,0.0003,1985,819394.7114028854,590534,113,0
0,0.0003,1986,839212.7373430246,602349,113,0
0,0.0003,1987,862089.226785792,618138,114,0
0,0.0003,1988,890705.0133269264,637954,115,0
0,0.0003,1989,910046.2537156426,650362,116,0
0,0.0003,1990,919894.58351503,655067,116,0
0,0.0003,1991,923723.3483974085,652189,116,0
0,0.0003,1992,935492.4111232047,656852,118,0
0,0.0003,1993,952876.4494521541,667023,118,0
0,0.0003,1994,971281.0961193038,681396,119,0
0,0.0003,1995,984550.0533827574,691996,118,0
