sex,cohort,source,g0,g1,g2,g3,h_young,h_old,delta,g0_raw,g1_raw,g2_raw,g3_raw
male,1916,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1917,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1918,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1919,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1920,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1921,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1922,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1923,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1924,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1925,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1926,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1927,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1928,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1929,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1930,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1931,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1932,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1933,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1934,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1935,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1936,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1937,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1938,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1939,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
