sex,cohort,n_ages,g0,g1,g2,g3,g0_raw,g1_raw,g2_raw,g3_raw,rmse,max_abs_resid,sdlog_gap,max_censored_share,se_g0,se_g1,se_g2,se_g3,se_g0_raw,se_g1_raw,se_g2_raw,se_g3_raw,wsd_g0,wsd_g1,wsd_g2,wsd_g3,J,df,p_value
male,1962,31,10.322390,0.141223,-0.143672,0.000000,9.728635,0.600972,-0.143672,0.000000,0.041627,0.073328,0.063681,0.000530,0.007010,0.003426,0.002614,0.000000,0.006405,0.008381,0.002614,0.000000,nan,nan,nan,nan,1083.551058,28,2.923e-210
male,1963,31,10.328423,0.131890,-0.142130,0.000000,9.753546,0.586705,-0.142130,0.000000,0.037113,0.066973,0.049467,0.000509,0.007008,0.003392,0.002556,0.000000,0.006217,0.008108,0.002556,0.000000,nan,nan,nan,nan,1195.654553,28,4.760e-234
male,1964,31,10.331357,0.123606,-0.129416,0.000000,9.802282,0.537738,-0.129416,0.000000,0.040434,0.084700,0.046633,0.000437,0.006705,0.003391,0.002527,0.000000,0.006201,0.007927,0.002527,0.000000,nan,nan,nan,nan,1204.054622,28,7.817e-236
male,1965,31,10.319677,0.118724,-0.113437,0.000000,9.839321,0.481722,-0.113437,0.000000,0.034989,0.074253,0.026928,0.000380,0.006662,0.003305,0.002484,0.000000,0.006149,0.007771,0.002484,0.000000,nan,nan,nan,nan,1214.459904,28,4.809e-238
male,1966,31,10.315118,0.105345,-0.101400,0.000000,9.886984,0.429824,-0.101400,0.000000,0.027832,0.059068,0.025557,0.000365,0.006502,0.003302,0.002381,0.000000,0.006070,0.007648,0.002381,0.000000,nan,nan,nan,nan,1017.364921,28,3.039e-196
male,1967,31,10.337877,0.114751,-0.093609,0.000000,9.914638,0.414299,-0.093609,0.000000,0.027374,0.053115,0.014880,0.000394,0.006209,0.002941,0.002266,0.000000,0.005573,0.007244,0.002266,0.000000,nan,nan,nan,nan,1019.669662,28,9.887e-197
male,1968,31,10.323306,0.107625,-0.074311,0.000000,9.960871,0.345419,-0.074311,0.000000,0.028931,0.064082,0.011706,0.000502,0.006301,0.003004,0.002297,0.000000,0.005747,0.007264,0.002297,0.000000,nan,nan,nan,nan,1050.989933,28,2.314e-203
male,1969,31,10.294537,0.119964,-0.063813,0.000000,9.939233,0.324166,-0.063813,0.000000,0.029515,0.065578,-0.003865,0.000444,0.006199,0.003068,0.002298,0.000000,0.005701,0.007252,0.002298,0.000000,nan,nan,nan,nan,901.827236,28,7.804e-172
male,1970,31,10.285177,0.134247,-0.069480,0.000000,9.892513,0.356582,-0.069480,0.000000,0.034559,0.075991,-0.020753,0.000394,0.006285,0.003207,0.002277,0.000000,0.005714,0.007431,0.002277,0.000000,nan,nan,nan,nan,1129.348962,28,5.678e-220
male,1971,31,10.315727,0.144039,-0.076296,0.000000,9.889947,0.388186,-0.076296,0.000000,0.036271,0.067388,-0.012812,0.000358,0.005746,0.002869,0.002041,0.000000,0.005254,0.006549,0.002041,0.000000,nan,nan,nan,nan,1411.490278,28,5.559e-280
male,1972,31,10.299704,0.149068,-0.070197,0.000000,9.881492,0.373698,-0.070197,0.000000,0.033708,0.070659,-0.027376,0.000301,0.005496,0.002550,0.001948,0.000000,0.004880,0.006220,0.001948,0.000000,nan,nan,nan,nan,1225.922155,28,1.762e-240
male,1973,31,10.278833,0.142877,-0.074842,0.000000,9.858635,0.382371,-0.074842,0.000000,0.032547,0.066562,-0.031032,0.000365,0.005671,0.002756,0.002003,0.000000,0.005167,0.006570,0.002003,0.000000,nan,nan,nan,nan,1292.153552,28,1.448e-254
male,1974,31,10.270086,0.157706,-0.080156,0.000000,9.812557,0.414206,-0.080156,0.000000,0.038764,0.088576,-0.038653,0.000301,0.005526,0.002692,0.002013,0.000000,0.005363,0.006634,0.002013,0.000000,nan,nan,nan,nan,1545.239119,28,1.630e-308
male,1975,31,10.260332,0.160388,-0.074028,0.000000,9.814198,0.397279,-0.074028,0.000000,0.041086,0.079245,-0.041892,0.000272,0.005562,0.002695,0.002013,0.000000,0.004989,0.006406,0.002013,0.000000,nan,nan,nan,nan,1946.841918,28,0.000e+00
male,1976,31,10.241625,0.156019,-0.061860,0.000000,9.833633,0.353971,-0.061860,0.000000,0.035292,0.088780,-0.041363,0.000251,0.005485,0.002600,0.002006,0.000000,0.004880,0.006428,0.002006,0.000000,nan,nan,nan,nan,1881.090611,28,0.000e+00
male,1977,31,10.223904,0.153302,-0.047653,0.000000,9.856629,0.305791,-0.047653,0.000000,0.029377,0.063981,-0.043820,0.000215,0.005288,0.002657,0.001887,0.000000,0.004997,0.006203,0.001887,0.000000,nan,nan,nan,nan,1484.913475,28,1.222e-295
male,1978,31,10.232617,0.145219,-0.044947,0.000000,9.885203,0.289048,-0.044947,0.000000,0.027705,0.063031,-0.056998,0.000294,0.005488,0.002645,0.001997,0.000000,0.004987,0.006341,0.001997,0.000000,nan,nan,nan,nan,1038.317915,28,1.116e-200
male,1979,31,10.226358,0.149067,-0.052909,0.000000,9.852403,0.318377,-0.052909,0.000000,0.028981,0.070138,-0.058568,0.000509,0.005237,0.002614,0.002061,0.000000,0.004973,0.006447,0.002061,0.000000,nan,nan,nan,nan,1028.444821,28,1.373e-198
male,1980,31,10.238081,0.159566,-0.058869,0.000000,9.832071,0.347946,-0.058869,0.000000,0.027737,0.059526,-0.069009,0.000659,0.005220,0.002563,0.002060,0.000000,0.004998,0.006504,0.002060,0.000000,nan,nan,nan,nan,981.093177,28,1.427e-188
male,1981,31,10.233353,0.169202,-0.065909,0.000000,9.793904,0.380110,-0.065909,0.000000,0.027563,0.059234,-0.075396,0.000602,0.005165,0.002497,0.002024,0.000000,0.004910,0.006360,0.002024,0.000000,nan,nan,nan,nan,1207.202361,28,1.676e-236
male,1982,31,10.248019,0.173801,-0.080340,0.000000,9.764267,0.430890,-0.080340,0.000000,0.025472,0.052666,-0.077488,0.000580,0.004966,0.002591,0.002135,0.000000,0.004999,0.006507,0.002135,0.000000,nan,nan,nan,nan,1037.605898,28,1.579e-200
male,1983,31,10.244145,0.179668,-0.080897,0.000000,9.749581,0.438538,-0.080897,0.000000,0.029398,0.064928,-0.077510,0.000537,0.004926,0.002572,0.002018,0.000000,0.004915,0.006296,0.002018,0.000000,nan,nan,nan,nan,1384.564218,28,3.043e-274
