year,agg_taxable_musd,agg_uncapped_musd,cov_share_workers,cov_share_earnings,price_2013_to_nominal,renorm_comp
1974,718774.886126,1029317.619501,0.866701,0.960378,0.26037445,1
1975,772196.616729,1118813.859854,0.873879,0.963930,0.28211802,1
1976,848163.989433,1219338.195049,0.874013,0.964009,0.29759603,1
1977,940782.396654,1349235.717471,0.873285,0.964403,0.31691332,1
1978,1058791.881318,1521296.931275,0.872177,0.963175,0.33911241,1
1979,1259112.944252,1701996.272424,0.875625,0.965449,0.36918529,1
1980,1417907.126033,1908612.416517,0.883822,0.968808,0.40882386,1
1981,1583202.876498,2100480.082359,0.891309,0.972017,0.44535753,1
1982,1686068.314471,2219712.349898,0.902711,0.976519,0.46994571,1
1983,1808432.896011,2344811.019161,0.906761,0.978803,0.49017402,1
1984,1973098.658729,2545362.240435,0.905710,0.979376,0.50871974,1
1985,2129558.477469,2742139.271008,0.905465,0.980077,0.52672629,1
1986,2277956.246941,2907594.386111,0.905586,0.980823,0.53812330,1
1987,2429679.389833,3097240.930003,0.903771,0.980595,0.55451233,1
1988,2618011.080946,3355279.448655,0.902924,0.980130,0.57611646,1
1989,2815665.401193,3592866.074353,0.906031,0.980690,0.60091845,1
1990,3025285.697407,3843158.085925,0.912508,0.982266,0.62692894,1
1991,3147968.563351,4002437.891978,0.920034,0.984166,0.64750121,1
1992,3300809.376426,4196150.861494,0.920540,0.984549,0.66461533,1
1993,3486329.925099,4432431.149418,0.919427,0.984546,0.68120886,1
1994,3684618.980395,4660904.636254,0.916691,0.984019,0.69537612,1
1995,3870460.434559,4932084.888545,0.915113,0.983414,0.70981296,1
1996,4066961.817934,5201572.332364,0.914133,0.983367,0.72491912,1
1997,4290298.523681,5473593.962671,0.913375,0.982994,0.73743167,1
1998,4494767.770031,5701847.052198,0.911375,0.982371,0.74308370,1
1999,4746527.893121,5975017.698482,0.910619,0.982171,0.75400662,1
2000,5055608.319064,6354069.788286,0.910536,0.982078,0.77280333,1
2001,5282863.679421,6610743.151392,0.914241,0.982970,0.78771428,1
2002,5453340.689698,6783207.544814,0.918261,0.983844,0.79829324,1
2003,5615197.829663,7012507.784111,0.920985,0.984233,0.81407801,1
2004,5852580.083463,7374342.106786,0.920959,0.984209,0.83388800,1
2005,6151483.941097,7757208.832872,0.920107,0.983981,0.85766742,1
2006,6511404.273359,8194663.465441,0.919012,0.983814,0.88061020,1
2007,6851251.567452,8603971.749147,nan,nan,0.90266054,1
2008,7090472.639675,8953232.633794,nan,nan,0.93021418,1
2009,6916496.991032,8800149.768770,nan,nan,0.92960994,1
2010,7078983.991833,9018583.812932,nan,nan,0.94497639,1
2011,7393057.697046,9433803.512117,nan,nan,0.96817945,1
2012,7726859.334901,9859835.507068,nan,nan,0.98651136,1
2013,8019534.020646,10272282.681581,nan,nan,1.00000000,1
2014,8367022.720629,10689699.216917,nan,nan,1.01425092,1
2015,8680340.936119,11024283.710004,nan,nan,1.01610980,1
2016,8988165.208466,11451336.137406,nan,nan,1.02639632,1
2017,9382563.925073,11938017.477303,nan,nan,1.04431680,1
2018,9833876.530969,12499651.167600,nan,nan,1.06569397,1
2019,10243775.427179,12984967.154101,nan,nan,1.08096188,1
2020,10386223.712883,13153451.625931,nan,nan,1.09304462,1
2021,11159795.329721,14007364.273718,nan,nan,1.13801290,1
2022,12209274.671194,15455521.431910,nan,nan,1.21245181,1
2023,12799780.577218,16245738.908108,nan,nan,1.25851662,1
2024,13381985.767859,16995467.374515,nan,nan,1.29146482,1
2025,14038572.755915,17826866.627392,nan,nan,1.32543644,1
2026,14689349.952853,18636282.841550,nan,nan,1.35724900,1
2027,15351637.590121,19461156.764256,nan,nan,1.38983152,1
2028,16001742.417132,20273422.753068,nan,nan,1.42321923,1
2029,16664199.085720,21099875.633562,nan,nan,1.45725882,1
2030,17347429.555463,21950682.492959,nan,nan,1.49226632,1
2031,18059595.938136,22837249.221184,nan,nan,1.52812539,1
