year,agg_taxable_musd,agg_uncapped_musd,cov_share_workers,cov_share_earnings,price_2013_to_nominal,renorm_comp
1998,3475947.239883,4082357.874720,0.911375,0.982371,0.74308370,1
1999,3662220.439853,4275803.851854,0.910619,0.982171,0.75400662,1
2000,3897919.506201,4544750.947499,0.910536,0.982078,0.77280333,1
2001,4067724.421988,4726863.661795,0.914241,0.982970,0.78771428,1
2002,4191145.542219,4848555.426063,0.918261,0.983844,0.79829324,1
2003,4319520.838279,5011283.869555,0.920985,0.984233,0.81407801,1
2004,4512622.389866,5269228.994649,0.920959,0.984209,0.83388800,1
2005,4748627.751785,5546298.943744,0.920107,0.983981,0.85766742,1
2006,5024906.359168,5860184.030552,0.919012,0.983814,0.88061020,1
2007,5285402.859149,6154425.235170,nan,nan,0.90266054,1
2008,5479537.898965,6405940.751655,nan,nan,0.93021418,1
2009,5357524.743787,6298175.665342,nan,nan,0.92960994,1
2010,5486505.859375,6455969.696500,nan,nan,0.94497639,1
2011,5733604.464449,6754916.913694,nan,nan,0.96817945,1
2012,5993704.851517,7061733.403747,nan,nan,0.98651136,1
2013,6228500.102374,7359325.452090,nan,nan,1.00000000,1
2014,6495036.792115,7660196.263099,nan,nan,1.01425092,1
2015,6728501.345005,7901623.976833,nan,nan,1.01610980,1
2016,6974010.658978,8209290.107545,nan,nan,1.02639632,1
2017,7278519.231987,8559946.926465,nan,nan,1.04431680,1
2018,7627392.916605,8963546.307508,nan,nan,1.06569397,1
2019,7939943.865798,9312395.704202,nan,nan,1.08096188,1
2020,8048683.449577,9433932.695595,nan,nan,1.09304462,1
2021,8627428.342088,10047048.392464,nan,nan,1.13801290,1
2022,9460725.923053,11085915.156312,nan,nan,1.21245181,1
2023,9925003.773932,11652055.473746,nan,nan,1.25851662,1
2024,10377795.846168,12189088.445767,nan,nan,1.29146482,1
2025,10886374.822579,12785387.227647,nan,nan,1.32543644,1
2026,11387889.983620,13365760.451636,nan,nan,1.35724900,1
2027,11898373.773116,13957319.505529,nan,nan,1.38983152,1
2028,12399822.575204,14539844.729321,nan,nan,1.42321923,1
2029,12910371.653112,15132138.130860,nan,nan,1.45725882,1
2030,13437117.499699,15742282.461929,nan,nan,1.49226632,1
2031,13986229.877968,16378106.603017,nan,nan,1.52812539,1
2032,14548556.289938,17035138.759880,nan,nan,1.56477144,1
2033,15130865.747851,17718649.952666,nan,nan,1.60232966,1
2034,15732873.396781,18425837.899625,nan,nan,1.64079317,1
2035,16357996.896337,19160198.947368,nan,nan,1.68017999,1
2036,17004633.134082,19919806.600702,nan,nan,1.72051228,1
2037,17668300.174521,20699081.980009,nan,nan,1.76181273,1
2038,18362314.506757,21513837.320928,nan,nan,1.80410877,1
2039,19079131.239506,22356124.131581,nan,nan,1.84742021,1
2040,19829778.260624,23239538.098176,nan,nan,1.89178020,1
2041,20610563.720312,24160046.111236,nan,nan,1.93721434,1
2042,21426281.113181,25123775.128479,nan,nan,1.98374885,1
2043,22273377.778117,26125871.363277,nan,nan,2.03140589,1
2044,23156970.842859,27172296.586756,nan,nan,2.08021748,1
2045,24080164.196454,28267106.205172,nan,nan,2.13021183,1
2046,25040842.757571,29407702.581308,nan,nan,2.18120206,1
2047,26046442.787910,30604577.866410,nan,nan,2.23362858,1
2048,27095666.633658,31855365.010231,nan,nan,2.28731520,1
2049,28190582.235334,33161878.467030,nan,nan,2.34229221,1
2050,29333813.505311,34526941.160794,nan,nan,2.39859063,1
2051,30525795.429302,35950697.044777,nan,nan,2.45624222,1
2052,31762965.288092,37427842.612180,nan,nan,2.51527949,1
2053,33046957.844076,38961127.445824,nan,nan,2.57573576,1
2054,34378673.888471,40552189.767333,nan,nan,2.63739037,1
2055,35768100.638481,42214826.541548,nan,nan,2.70078792,1
2056,37211592.524413,43941765.860403,nan,nan,2.76543586,1
2057,38717445.989805,45743744.928184,nan,nan,2.83190479,1
2058,40277659.699658,47609110.405852,nan,nan,2.89996462,1
2059,41892275.581303,49537778.845711,nan,nan,2.96936646,1
2060,43570851.946646,51542166.596671,nan,nan,3.04072287,1
2061,45310306.606652,53617352.060568,nan,nan,3.11378682,1
2062,47113534.874588,55767691.274321,nan,nan,3.18860637,1
2063,48984237.350100,57997079.878437,nan,nan,3.26522373,1
2064,50919805.784311,60301154.016868,nan,nan,3.34335149,1
2065,52923287.245322,62684376.955233,nan,nan,3.42334863,1
2066,54998641.829743,65151528.856009,nan,nan,3.50525988,1
2067,57153944.966876,67711244.473402,nan,nan,3.58947761,1
2068,59391957.153058,70368955.959550,nan,nan,3.67536387,1
2069,61713406.613545,73126681.664600,nan,nan,3.76366854,1
2070,64121695.697889,75986136.811828,nan,nan,3.85409482,1
2071,66621342.018843,78951380.106913,nan,nan,3.94631263,1
2072,69226524.132394,82042842.952045,nan,nan,4.04113652,1
2073,71931604.036787,85251949.423466,nan,nan,4.13823888,1
2074,74747002.411759,88590215.137060,nan,nan,4.23767446,1
2075,77675555.511816,92059302.102080,nan,nan,4.33907027,1
