sex,cohort,n_ages,g0,g1,g2,g3,g0_raw,g1_raw,g2_raw,g3_raw,rmse,max_abs_resid,sdlog_gap,max_censored_share,se_g0,se_g1,se_g2,se_g3,h_young,h_old,se_h_young,se_h_old,h_old_filled,n_epuf,n_young,n_old,rmse_gksw,rmse_epuf,J,df,p_value,relevel_shift
female,1980,31,9.476346,0.118568,-0.010848,0.000000,9.258866,0.153282,-0.010848,0.000000,0.035598,0.115563,-0.054541,0.002488,0.002517,0.001385,0.001120,0.000000,-0.878411,-0.375009,0.013336,,1,32,5,0,0.031882,0.038861,3044.712000,58,0.000000,-0.367812
female,1981,31,9.481807,0.112859,-0.011118,0.000000,9.272771,0.148435,-0.011118,0.000000,0.037875,0.097634,-0.062750,0.002280,0.002578,0.001356,0.001114,0.000000,-0.881971,-0.375009,0.013485,,1,31,5,0,0.037311,0.038431,3505.553400,57,0.000000,-0.371814
female,1982,31,9.483739,0.110265,-0.004663,0.000000,9.295378,0.125187,-0.004663,0.000000,0.037630,0.084270,-0.060744,0.002179,0.002452,0.001390,0.001086,0.000000,-0.908156,-0.375009,0.013611,,1,30,5,0,0.039081,0.036070,3717.627000,56,0.000000,-0.355965
female,1983,31,9.484367,0.104522,-0.015476,0.000000,9.277514,0.154044,-0.015476,0.000000,0.034207,0.073495,-0.068074,0.002122,0.002547,0.001351,0.001108,0.000000,-0.846752,-0.375009,0.012549,,1,29,5,0,0.031599,0.036791,3118.521400,55,0.000000,-0.384995
male,1957,31,10.099897,0.184639,-0.126133,0.000000,9.481574,0.588265,-0.126133,0.000000,0.074925,0.264315,0.080597,0.000236,0.002814,0.001519,0.001254,0.000000,-0.749418,-0.393779,0.019610,0.018123,0,40,5,15,0.025878,0.097188,3644.868500,65,0.000000,-0.294347
male,1958,31,10.130938,0.181205,-0.134858,0.000000,9.495774,0.612750,-0.134858,0.000000,0.054410,0.168627,0.075625,0.000215,0.002839,0.001542,0.001213,0.000000,-0.835602,-0.383454,0.019731,0.019349,0,40,5,15,0.033623,0.066171,3821.948700,65,0.000000,-0.289792
male,1959,31,10.152146,0.158425,-0.149293,0.000000,9.516476,0.636161,-0.149293,0.000000,0.063435,0.178277,0.065659,0.000215,0.002827,0.001551,0.001268,0.000000,-0.513594,-0.267745,0.018591,0.018361,0,42,5,15,0.035555,0.077853,4279.045500,67,0.000000,-0.282237
male,1960,31,10.165785,0.150785,-0.144138,0.000000,9.555536,0.612027,-0.144138,0.000000,0.062228,0.191688,0.068000,0.000150,0.002772,0.001507,0.001253,0.000000,-0.601116,-0.141321,0.017876,0.017369,0,42,5,15,0.034856,0.076378,3768.975200,67,0.000000,-0.296053
male,1961,31,10.168514,0.141314,-0.151684,0.000000,9.554100,0.626703,-0.151684,0.000000,0.062054,0.199784,0.065631,0.000229,0.002864,0.001508,0.001244,0.000000,-0.728068,-0.081432,0.017143,0.017778,0,43,5,15,0.040768,0.073679,5593.339800,68,0.000000,-0.297350
male,1962,31,10.171375,0.117108,-0.141695,0.000000,9.621263,0.570530,-0.141695,0.000000,0.057208,0.172017,0.061003,0.000351,0.002797,0.001524,0.001262,0.000000,-1.069026,-0.056403,0.015925,0.017135,0,42,5,14,0.033916,0.069565,3881.319200,67,0.000000,-0.308139
