sex,cohort,n_ages,g0,g1,g2,g3,g0_raw,g1_raw,g2_raw,g3_raw,rmse,max_abs_resid,sdlog_gap,max_censored_share,cms_b0,cms_b1,cms_b2,cms_b3,eu_offset,se_g0,se_g1,se_g2,se_g3
male,1962,31,10.677139,0.193409,-0.142744,0.000000,10.002260,0.650190,-0.142744,0.000000,0.039367,0.090239,0.063676,0.000516,-3.188431,0.190066,-0.003482,0.000020,0.379400,0.011169,0.008318,0.010414,0.000000
male,1963,31,10.690123,0.185049,-0.143769,0.000000,10.025995,0.645111,-0.143769,0.000000,0.035596,0.091816,0.049472,0.000480,-2.798235,0.156440,-0.002548,0.000012,0.379386,0.010099,0.007521,0.009416,0.000000
male,1964,31,10.684382,0.169088,-0.133419,0.000000,10.072287,0.596030,-0.133419,0.000000,0.035333,0.100186,0.046607,0.000451,-2.956185,0.172213,-0.003024,0.000016,0.379392,0.010025,0.007466,0.009347,0.000000
male,1965,31,10.684755,0.167768,-0.118927,0.000000,10.111874,0.548334,-0.118927,0.000000,0.032666,0.092888,0.026920,0.000380,-2.578720,0.144774,-0.002394,0.000011,0.379397,0.009268,0.006902,0.008641,0.000000
male,1966,31,10.684645,0.159660,-0.113681,0.000000,10.138166,0.523438,-0.113681,0.000000,0.027446,0.071703,0.025551,0.000365,-2.519566,0.139703,-0.002252,0.000010,0.379396,0.007787,0.005799,0.007260,0.000000
male,1967,31,10.707962,0.168836,-0.107335,0.000000,10.163046,0.512309,-0.107335,0.000000,0.027227,0.064054,0.014875,0.000394,-2.656920,0.149152,-0.002446,0.000011,0.379389,0.007725,0.005753,0.007202,0.000000
male,1968,31,10.695519,0.159205,-0.096049,0.000000,10.194907,0.466560,-0.096049,0.000000,0.028137,0.060233,0.011690,0.000523,-2.655846,0.150433,-0.002506,0.000012,0.379363,0.007983,0.005945,0.007443,0.000000
male,1969,31,10.671223,0.170798,-0.085649,0.000000,10.178686,0.444873,-0.085649,0.000000,0.029533,0.065368,-0.003886,0.000487,-2.561675,0.139205,-0.002195,0.000009,0.379356,0.008379,0.006240,0.007812,0.000000
male,1970,31,10.655602,0.184299,-0.082846,0.000000,10.148636,0.449407,-0.082846,0.000000,0.034677,0.069483,-0.020761,0.000416,-3.125613,0.178280,-0.003114,0.000016,0.379367,0.009839,0.007327,0.009173,0.000000
male,1971,31,10.677477,0.193636,-0.087132,0.000000,10.144601,0.472459,-0.087132,0.000000,0.034865,0.076306,-0.012822,0.000365,-3.334568,0.190179,-0.003291,0.000017,0.379381,0.009892,0.007367,0.009223,0.000000
male,1972,31,10.663000,0.201649,-0.081295,0.000000,10.132248,0.461792,-0.081295,0.000000,0.033025,0.076367,-0.027387,0.000322,-3.593494,0.209572,-0.003808,0.000021,0.379395,0.009370,0.006978,0.008736,0.000000
male,1973,31,10.649742,0.200424,-0.086489,0.000000,10.107651,0.477189,-0.086489,0.000000,0.033451,0.067056,-0.031027,0.000330,-3.609005,0.208883,-0.003773,0.000021,0.379400,0.009491,0.007068,0.008849,0.000000
male,1974,31,10.629864,0.206394,-0.085085,0.000000,10.081818,0.478664,-0.085085,0.000000,0.036515,0.081884,-0.038671,0.000308,-3.769373,0.222188,-0.004183,0.000025,0.379414,0.010360,0.007715,0.009659,0.000000
male,1975,31,10.614088,0.213400,-0.078178,0.000000,10.072512,0.463570,-0.078178,0.000000,0.038185,0.096918,-0.041906,0.000279,-3.636852,0.212060,-0.003985,0.000024,0.379426,0.010834,0.008068,0.010101,0.000000
male,1976,31,10.609043,0.210956,-0.068305,0.000000,10.096652,0.429533,-0.068305,0.000000,0.034129,0.087462,-0.041359,0.000228,-3.211395,0.181966,-0.003309,0.000019,0.379445,0.009683,0.007211,0.009028,0.000000
male,1977,31,10.600819,0.214842,-0.061808,0.000000,10.098844,0.412627,-0.061808,0.000000,0.028814,0.078489,-0.043813,0.000215,-2.720468,0.144385,-0.002411,0.000012,0.379449,0.008175,0.006088,0.007622,0.000000
male,1978,31,10.609161,0.211692,-0.066525,0.000000,10.100150,0.424573,-0.066525,0.000000,0.025997,0.058182,-0.056996,0.000294,-2.331371,0.114193,-0.001649,0.000005,0.379438,0.007376,0.005493,0.006877,0.000000
male,1979,31,10.616470,0.219226,-0.078204,0.000000,10.065507,0.469478,-0.078204,0.000000,0.025583,0.051608,-0.058547,0.000466,-2.725746,0.143914,-0.002406,0.000012,0.379401,0.007258,0.005405,0.006767,0.000000
male,1980,31,10.618189,0.225792,-0.081716,0.000000,10.047729,0.487283,-0.081716,0.000000,0.026254,0.053134,-0.069004,0.000645,-2.871619,0.156442,-0.002786,0.000015,0.379364,0.007449,0.005547,0.006945,0.000000
male,1981,31,10.619383,0.231305,-0.090758,0.000000,10.016955,0.521730,-0.090758,0.000000,0.026598,0.050966,-0.075395,0.000602,-3.559810,0.208408,-0.004097,0.000026,0.379350,0.007546,0.005620,0.007036,0.000000
male,1982,31,10.624128,0.233826,-0.098668,0.000000,9.997416,0.549564,-0.098668,0.000000,0.025134,0.052504,-0.077489,0.000580,-3.780714,0.223002,-0.004427,0.000029,0.379347,0.007131,0.005311,0.006649,0.000000
male,1983,31,10.620708,0.240495,-0.098218,0.000000,9.984478,0.554792,-0.098218,0.000000,0.029124,0.064882,-0.077506,0.000530,-4.017614,0.240742,-0.004905,0.000033,0.379367,0.008263,0.006154,0.007704,0.000000
