sex,cohort,source,g0,g1,g2,g3,h_young,h_old,g0_raw,g1_raw,g2_raw,g3_raw
male,1985,extrap_fwd,10.093514,0.124687,-0.068720,0.000000,-0.553106,-0.083256,9.718093,0.344590,-0.068720,0.000000
male,1986,extrap_fwd,10.118756,0.124687,-0.068720,0.000000,-0.553106,-0.083256,9.743335,0.344590,-0.068720,0.000000
male,1987,extrap_fwd,10.138926,0.124687,-0.068720,0.000000,-0.553106,-0.083256,9.763505,0.344590,-0.068720,0.000000
male,1988,extrap_fwd,10.153262,0.124687,-0.068720,0.000000,-0.553106,-0.083256,9.777841,0.344590,-0.068720,0.000000
male,1989,extrap_fwd,10.153281,0.124687,-0.068720,0.000000,-0.553106,-0.083256,9.777860,0.344590,-0.068720,0.000000
male,1990,extrap_fwd,10.143956,0.124687,-0.068720,0.000000,-0.553106,-0.083256,9.768535,0.344590,-0.068720,0.000000
male,1991,extrap_fwd,10.136924,0.124687,-0.068720,0.000000,-0.553106,-0.083256,9.761502,0.344590,-0.068720,0.000000
male,1992,extrap_fwd,10.158763,0.124687,-0.068720,0.000000,-0.553106,-0.083256,9.783342,0.344590,-0.068720,0.000000
male,1993,extrap_fwd,10.153939,0.124687,-0.068720,0.000000,-0.553106,-0.083256,9.778518,0.344590,-0.068720,0.000000
male,1994,extrap_fwd,10.174040,0.124687,-0.068720,0.000000,-0.553106,-0.083256,9.798619,0.344590,-0.068720,0.000000
male,1995,extrap_fwd,10.195525,0.124687,-0.068720,0.000000,-0.553106,-0.083256,9.820104,0.344590,-0.068720,0.000000
male,1996,extrap_fwd,10.210767,0.124687,-0.068720,0.000000,-0.553106,-0.083256,9.835346,0.344590,-0.068720,0.000000
male,1997,extrap_fwd,10.247545,0.124687,-0.068720,0.000000,-0.553106,-0.083256,9.872124,0.344590,-0.068720,0.000000
male,1998,extrap_fwd,10.300213,0.124687,-0.068720,0.000000,-0.553106,-0.083256,9.924792,0.344590,-0.068720,0.000000
male,1999,extrap_fwd,10.336840,0.124687,-0.068720,0.000000,-0.553106,-0.083256,9.961418,0.344590,-0.068720,0.000000
male,2000,extrap_fwd,10.366009,0.124687,-0.068720,0.000000,-0.553106,-0.083256,9.990588,0.344590,-0.068720,0.000000
male,2001,extrap_fwd,10.362955,0.124687,-0.068720,0.000000,-0.553106,-0.083256,9.987534,0.344590,-0.068720,0.000000
male,2002,extrap_fwd,10.356791,0.124687,-0.068720,0.000000,-0.553106,-0.083256,9.981370,0.344590,-0.068720,0.000000
male,2003,extrap_fwd,10.365367,0.124687,-0.068720,0.000000,-0.553106,-0.083256,9.989946,0.344590,-0.068720,0.000000
male,2004,extrap_fwd,10.387363,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.011942,0.344590,-0.068720,0.000000
male,2005,extrap_fwd,10.399906,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.024485,0.344590,-0.068720,0.000000
male,2006,extrap_fwd,10.422651,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.047230,0.344590,-0.068720,0.000000
male,2007,extrap_fwd,10.439700,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.064278,0.344590,-0.068720,0.000000
male,2008,extrap_fwd,10.429906,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.054485,0.344590,-0.068720,0.000000
male,2009,extrap_fwd,10.410050,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.034629,0.344590,-0.068720,0.000000
male,2010,extrap_fwd,10.417932,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.042511,0.344590,-0.068720,0.000000
male,2011,extrap_fwd,10.424192,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.048771,0.344590,-0.068720,0.000000
male,2012,extrap_fwd,10.441505,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.066084,0.344590,-0.068720,0.000000
male,2013,extrap_fwd,10.437315,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.061893,0.344590,-0.068720,0.000000
male,2014,extrap_fwd,10.460308,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.084887,0.344590,-0.068720,0.000000
male,2015,extrap_fwd,10.490690,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.115269,0.344590,-0.068720,0.000000
male,2016,extrap_fwd,10.492911,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.117490,0.344590,-0.068720,0.000000
male,2017,extrap_fwd,10.509564,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.134142,0.344590,-0.068720,0.000000
male,2018,extrap_fwd,10.525295,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.149874,0.344590,-0.068720,0.000000
male,2019,extrap_fwd,10.544559,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.169138,0.344590,-0.068720,0.000000
male,2020,extrap_fwd,10.562943,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.187522,0.344590,-0.068720,0.000000
male,2021,extrap_fwd,10.611370,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.235949,0.344590,-0.068720,0.000000
male,2022,extrap_fwd,10.598102,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.222680,0.344590,-0.068720,0.000000
male,2023,extrap_fwd,10.599601,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.224179,0.344590,-0.068720,0.000000
male,2024,extrap_fwd,10.611529,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.236108,0.344590,-0.068720,0.000000
male,2025,extrap_fwd,10.627599,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.252178,0.344590,-0.068720,0.000000
male,2026,extrap_fwd,10.644063,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.268642,0.344590,-0.068720,0.000000
